,,,Spreadsheet Map,,,,,,,,,,,,,,
,장학금,scholarship,,수표,check (you're writing or receiving),,창문,window,,대중교통,public transportation,,,,,,
,,,,영수증,receipt,,유리창,glass window,,신호등,"traffic light, traffic signal",,,,,,
,학교,school,,판매,"sale(s), selling",,커튼,curtain,,공항,airport,,색깔,color,,,
,교장,"principal, headmaster (at a school)",,구매,purchase,,계단,"stairs, step",,항공,"aviation, flight (travel)",,검은색,"black, a dark color",,,
,학년,"school year, grade (level)",,매진,"sold out, sellout; striving",,지하,"underground, basement; the afterlife",,비행기,"airplane, plane",,검정,"black (night sky, no light)",,,
,학기,semester,,환불,"refund, money back",,아래층,"downstairs, lower floor",,항공권,airline ticket,,까만색,black,,,
,기말/학기말,"end of a term, end of a semester",,보상,compensation; reward,,위층,"upstairs, upper floor",,일등,"first, first class (rank/grade that comes first before others)",,빨간색,red,,,
,방학,vacation (from school),,서비스,service,,바닥,"floor, the bottom, ground; area, place; field, business",,터미널,terminal,,흰색,(noun) white,,,
,강의,"lecture, class (college)",,봉사,"(volunteer) service, serve; blind person",,마룻바닥,(wood/nicely furnished) floor,,지하철,underground train,,하양,"white, whiteness, white tint",,,
,강의실,"lecture room, classroom (college)",,명함,business card,,천장,ceiling,,지하도,"underpass, underground tunnel, subway",,하얀,"(adj) white, pale",,,
,강연회,lecture meeting (less common),,신용카드,credit card,,,,,전철,subway (train) (electric),,노랑,yellow (noun),,,
,교실,classroom (not college),,신분증,ID card,,방,"room, shot, round, punch",,기차,train (like in train station),,노란색,yellow,,,
,수업,"class, lesson, course (up to highschool)",,월급,monthly salary,,온돌방,room with the Korean floor heating system,,급행열차,express train,,황색,"yellow (added to words? ""yellow sun"")",,,
,반,"half; group, class",,임금,"wages, pay (of any kind/formal); king, monarch",,,,,역,station (subway); part in a play ,,연두색,light yellowish green (pea),,,
,클래스,class (not school/e.g. class based on skill or quality),,공주,princess; Gong Ju,,침실,"bedroom, room for sleeping",,기차역,train station,,초록색,green,,,
,레슨,"lesson, private lesson (not school subjects; instruments etc)",,보험,insurance,,안방,"master bedroom, main room",,선로,"train tracks, railroad",,녹색,green,,,
,과외,"private lessons, tutoring; extra work",,건강보험증,health insurance card,,침대,bed,,호선,"(bound noun) line (subway); arc, curve",,갈색,light brown,,,
,,,,,,,베개,pillow,,정류장,"stop, station (bus etc.)",,회색,gray,,,
,유학,studying abroad,,회사,"company, corporation (that someone would work at)",,동침,"sleeping together, sharing a bed",,정거장,"station, stop (bus), x station",,분홍색,pink,,,
,전학,act of transferring schools,,대기업,"large company, major company",,이불,"comforter, bedding, blanket",,운전,driving,,핑크,pink (more common),,,
,동창회,"alumni meeting, class reunion",,회사원,company employee (office),,자면서,in one's sleep,,길,"street, road; way (as in someone's way?)",,빨강,"red, crimson, scarlet",,,
,,,,직원,"employee, staff member",,자면,when asleep,,큰길,main road,,주황색,orange (color),,,
,과목,"subject, course",,계산원,cashier,,취침,"going to bed, retiring",,도로,"road, street, highway, traffic lane; back (opposite direction one is going), revert; vain effort",,보라색,"violet, purple",,,
,경영학,business administration (field of study),,승무원,"crewman, stewardess",,낮잠,nap,,도로변,roadside,,청색,blue,,,
,수학,mathematics; study,,노동자,"worker, laborer",,잠,"sleep, doze, nap",,고속도로,"expressway, highway",,남색,"indigo, deep blue, navy",,,
,과학,science,,근로자,workers,,노숙,sleep in the open,,거리,"distance; street, road",,하늘색,sky blue,,,
,역사,history,,노동,labor; manual labor,,늦잠,"sleeping late (in the morning), oversleeping",,주차장,"parking lot, parking garage",,밤색,"brown, chestnut",,,
,문학,literature,,인원,"the number of people, personnel, headcount",,꿈,dream (while sleeping),,사거리,"intersection, crossroads, street corner",,고동색,reddish brown,,,
,심리학,psychology,,,,,악몽,"bad dream, nightmare",,출구,exit,,파랑,"blue (noun); wave, ripple",,,
,체육,"physical education, physical training, physical activity",,사무실,office,,꿈속,inside a dream,,택시,taxi,,연보라,"light purple, violet",,,
,체육관,gym (for sports),,과,"department, section, division; lesson, chapter",,환상,"illusion, fantasy",,버스,bus,,하양색,white,,,
,시,"poem; time, hour; o'clock; city",,직장,"workplace, job, office, company",,,,,고속버스,express bus,,,,,,
,소설,novel; fiction,,공사,construction; public corporation; official and personal affairs,,,,,막차,the last train/bus,,,,,,
,편지,"letter, note",,사업,"enterprise, business (act of managing a companies activities); work, service, project, activity",,욕실,bathroom,,직행,"go straight (to), going direct; nonstop, express",,옷,clothes,,,
,엽서,postcard,,단체,"organization, association, society; group of people, party",,화장실,"toilet, bathroom, restroom",,운전사,"driver, chauffeur",,의류,"clothing, clothes (slightly more formal word)",,,
,,,,기업,"enterprise, business, corporation, company (that seek to make profit)",,휴지,"toilet paper, tissue; waste paper, scrap paper; pause",,자동차,car,,정장,"formal wear (outfit, dress, suit)",,,
,캠퍼스,campus,,장사,"business (selling something for profit), trade, commerce, deal; funeral; person of great physical strength",,치약,toothpaste,,차,car; tea,,교복,school uniform,,,
,도서관,library,,업체,"company, business (less common)",,칫솔,toothbrush,,자가용,"one's own car, private/personal car",,제복,uniform,,,
,독서실,"reading room, study room",,직업,"job, career",,비누,soap,,승용차,"passenger car, sedan",,와이셔츠,dress shirt (white shirt),,,
,공부,studying,,하는 일,"job (2), work that you do",,물비누,liquid soap,,승객,passenger,,티셔츠,t-shirt,,,
,교과서,textbook,,일,"work, job",,샴푸,shampoo,,트럭,truck,,원피스,dress,,,
,책,book,,백수,"being out of work (nuance of staying at home and being lazy), unemployed; empty hands; all kinds of animals",,목욕,bath,,오토바이,"motorcycle, scooter",,드레스,"dress, gown (fancier)",,,
,신간,new book,,업무,"business, job, duty, work, task (that you do as part of a job)",,욕조,bathtub,,자전거,bicycle,,코트,coat (like a trenchcoat),,,
,책장,"(bigger) bookshelf, bookcase; the page of a book",,작업,"work (towards a certain process/for something), operation (formal)",,싱크대,sink,,,,,외투,overcoat (seems bigger/not that common),,,
,책꽂이,bookshelf,,근무,"work (for/at) as an employee, be at work (formal)",,수건,towel,,취미,hobby,,재킷,jacket (lighter/might be closer to high fashion styles),,,
,학습,"learning, studies",,일거리,"work (that enables you to earn money), things to do, task",,,,,춤,dance,,조끼,vest,,,
,독학,"self-study, self education",,아르바이트,part-time job,,부엌,kitchen,,춤을 추,dancing,,스웨터,sweater,,,
,연구,"research (into/on), study (of/into/on)",,본업,"main occupation, day job, primary job",,주방,kitchen (sino),,무용,dance (formal); uselessness; military arts,,블라우스,blouse,,,
,,,,이력서,"resume, CV",,요리사,"cook, chef",,탈춤,masked dance,,바지,pants,,,
,시험,"exam, test",,면접,(job) interview,,요리,"cooking, dish",,예술,art (broad),,청바지,blue jeans,,,
,시험지,test paper,,,,,기름,"(cooking) oil; fat; grease, oil; gas, gasoline",,작품,"piece of artwork (music, literature, etc); product",,치마,skirt,,,
,정답,correct answer,,실장,head of the office; dptmt. head; section chief,,냉장고,refrigerator,,미술,fine art,,반바지,shorts,,,
,오답,"wrong answer, incorrect answer",,과장님,"head of department, chief",,가전제품,electric home appliance,,등산,"hiking, mountain climbing",,속옷,underwear,,,
,숙제,"homework, assignment",,부장,head of department,,전기밥솥,electric rice cooker,,낚시,"fishing, fishing gear; seduction",,스타킹,"stockings, pantyhose",,,
,과제,"task, assignment, project, homework; problem",,감독,"supervision; supervisor, director, manager",,정수기,water purifier,,,,,양말,socks,,,
,종이,paper,,사장,"(more common) president of a company, CEO, boss; die out",,접시,"plate, dish",,음악,music,,슬리퍼,slipper,,,
,서류,"documents, papers (plural)",,책임자,"person in charge, manager (who takes responsibility when something happens)",,반찬,side dish,,음악가,musician,,신,"shoes (same as 신발), footwear; god; joy, delight",,,
,문서,"document, papers (singular)",,상사,"one's boss, superior (workplace); trading firm; seargeant",,도시락,"(packed) lunch, box lunch",,가수,singer,,구두,dress shoes,,,
,,,,사업가,"businessman, entrepreneur",,냄비,"pot, saucepan",,가사,"lyrics; housework, chores",,신발,"shoes, footwear",,,
,보고서,"report, paper",,원장,"director, president (of an institution ending in 원)",,솥,"iron pot, cauldron",,노래,song,,운동화,"sports shoes, sneakers",,,
,논문,"thesis, research paper",,총장,"chancellor (of a university), secretary general",,그릇,"bowl, container; capable, qualified",,곡,"tune, piece of music, song (sino)",,고무신,rubber shoes,,,
,수필,essay (that a writer would write),,승진,"promotion (at a job), advancement",,도자기,"ceramic ware, pottery",,가요,"pop song, kpop",,장화,boots (dealing with weather eg rain boots); a long talk,,,
,글,"writing, (a piece of) writing",,지원자,"applicant, volunteer; supporter",,컵,cup,,클래식,classic (al music),,부츠,boots,,,
